鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
三民區,房地(土地+建物),高雄市三民區北平二街５巷２９號,6.85,商,,,1080317,土地1建物1車位0,一層，二層,十三層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,701119.0,70.17,1,1,1,有,有,3800000,54154.0,,0.0,0,,RPPNMLMJNHOFFDE97CA,59.32,0.0,0.0,,,13.0
三民區,房地(土地+建物)+車位,高雄市三民區褒揚東街１６２巷５１號七樓,21.02,住,,,1080318,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010927.0,149.57,3,2,2,有,有,13000000,86916.0,坡道平面,20.11,0,,RPVPMLNJNHOFFDE88CA,75.79,10.26,0.0,,,15.0
三民區,房地(土地+建物)+車位,高雄市三民區正興路５號二十二樓之３,20.4,商,,,1080415,土地1建物1車位1,二十二層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810514.0,292.31,5,2,2,有,有,12000000,41052.0,坡道平面,0.0,0,露臺外推,RPTPMLNJNHOFFDE68CA,150.72,60.12,0.0,,,25.0
三民區,房地(土地+建物),高雄市三民區鼎山街７３３號,326.15,商,,,1080321,土地2建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,加強磚造,550501.0,639.94,0,0,0,無,無,57000000,89071.0,,0.0,0,,RPOPMLKLNHOFFDE08CA,639.94,0.0,0.0,,,3.0
三民區,房地(土地+建物),高雄市三民區自由一路２號八樓之７,8.75,商,,,1080329,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,710225.0,98.91,2,2,2,有,有,4280000,43272.0,,0.0,0,內部部分裝修 管線換新,RPRPMLRLNHOFFDE09CA,70.14,8.83,0.0,,,12.0
三民區,房地(土地+建物)+車位,高雄市三民區大順二路147號八樓之1,16.65,商,,,1080315,土地4建物1車位1,八層,十二層,辦公商業大樓,,鋼筋混凝土造,800918.0,177.47,0,0,0,無,有,4960000,27948.0,升降機械,0.0,0,,RPPPMLPKNHOFFDE58CA,95.29,29.71,0.0,,,12.0
三民區,房地(土地+建物)+車位,高雄市三民區文濱路１７巷６號十六樓,28.9,住,,,1080320,土地1建物1車位2,十六層,十七層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1070110.0,205.62,3,2,2,有,有,15000000,87929.0,坡道平面,67.44,2850000,實品屋.權利人等2人共同登記,RPQNMLPKNHOFFDE48CA,76.11,16.46,0.0,,,17.0
三民區,房地(土地+建物),高雄市三民區昌裕街９巷１８號,64.0,住,,,1080411,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,681231.0,115.2,4,1,3,有,無,4775000,41450.0,,0.0,0,親友間買賣移轉賣清買方負擔全部稅規費,RPXOMLKKNHOFFDE78CA,115.2,0.0,0.0,,,3.0
三民區,房地(土地+建物)+車位,高雄市三民區文濱路１７巷６號十二樓,28.9,住,,,1080314,土地1建物1車位2,十二層,十七層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1070110.0,205.62,3,2,2,有,有,13800000,79244.0,坡道平面,67.44,2850000,,RPQQMLTJNHOFFDE09CA,76.11,16.46,0.0,,,17.0
三民區,房地(土地+建物),高雄市三民區大豐二路４９０號,11.51,商,,,1080322,土地1建物1車位0,一層，二層，騎樓,十六層,店面(店鋪),住商用,鋼筋混凝土造,850729.0,116.52,3,1,2,有,有,7600000,65225.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLKKNHOFFDE28CA,96.48,3.41,0.0,,,16.0
