鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
龜山區,房地(土地+建物),桃園市龜山區文化三路６３號六樓之十,4.86,住,,,1080131,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831105.0,37.06,1,1,1,有,有,3000000,80950.0,,0.0,0,,RPTNMLMKLHOFFHH98CA,20.57,0.0,3.2,,,11.0
龜山區,房地(土地+建物)+車位,桃園市龜山區文化三路５８２號,48.63,住,,,1080131,土地1建物1車位3,一層,七層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010627.0,230.42,0,0,0,無,有,31000000,134537.0,坡道平面,99.36,0,,RPQNMLTKLHOFFHH76CA,92.05,0.0,0.0,,,7.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１２７３號十四樓,24.48,住,,,1080106,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060308.0,169.59,3,1,2,有,有,12880000,80982.0,坡道平面,30.3,1600000,,RPSNMLTKLHOFFHH96CA,80.71,0.0,7.0,,,15.0
桃園區,房地(土地+建物),桃園市桃園區春日路６５８巷３號１２樓之４,15.95,住,,,1071231,土地1建物1車位0,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881129.0,121.36,3,2,2,有,有,6950000,57268.0,,0.0,0,含增建或未登記建物。；,RPTPMLOJLHOFFAH68DA,82.8,0.0,11.42,,,24.0
桃園區,房地(土地+建物),桃園市桃園區龍門街１巷１６號,58.85,住,,,1071118,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,651231.0,101.4,5,1,2,有,無,4500000,44379.0,,0.0,0,含增建或未登記建物。,RPVOMLQLKHOFFAH09DA,101.4,0.0,0.0,,,2.0
楊梅區,房地(土地+建物),桃園市楊梅區紅梅里校前路32巷19弄7號,73.0,住,,,1080125,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,700127.0,94.5,3,2,3,有,無,1879400,19888.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLPLKHOFFDH68DA,94.5,0.0,0.0,,,2.0
大溪區,房地(土地+建物),桃園市大溪區仁文里10鄰自強街28巷2弄21號,38.26,住,,,1080131,土地3建物1車位0,全,一層,透天厝,住家用,磚造,681113.0,29.33,1,1,1,有,無,1300000,44323.0,,0.0,0,,RPSNMLMLKHOFFCH48DA,29.33,0.0,0.0,,,1.0
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區仁和街１２２號９樓,20.77,住,,,1080103,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030207.0,117.93,2,2,1,有,有,6100000,51726.0,坡道平面,26.29,0,,RPTOMLOJLHOFFEH98DA,56.69,1.98,4.31,,,10.0
八德區,房地(土地+建物),桃園市八德區桃德路１２８巷３４號,72.1,住,,,1071210,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,780930.0,205.18,4,3,3,有,無,9460000,46106.0,,0.0,0,含增建或未登記建物。,RPVOMLPLKHOFFFH86DA,179.12,17.53,8.53,,,3.0
楊梅區,房地(土地+建物),桃園市楊梅區泰圳路200巷169弄172號,1471.0,,特定農業區,甲種建築用地,1080109,土地1建物2車位0,全,一層,透天厝,住家用,鋼造,810715.0,544.0,0,0,1,有,無,28000000,51471.0,,0.0,0,含增建或未登記建物。；,RPQNMLOLMHOFFDH88EA,544.0,0.0,0.0,,,1.0
