鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
大肚區,房地(土地+建物)+車位,臺中市大肚區王福街８５１號六樓,21.48,住,,,1080226,土地3建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830606.0,120.57,3,2,2,有,有,3200000,26541.0,坡道機械,0.0,0,,RPPNMLOKMHOFFKB58CA,78.59,0.79,7.03,,,7.0
大肚區,房地(土地+建物),臺中市大肚區瑞井路六十二西巷９號,77.23,,鄉村區,乙種建築用地,1080324,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,820830.0,173.05,5,2,3,有,無,6500000,37561.0,,0.0,0,親友、員工或其他特殊關係間之交易。；受債權債務影響或債務抵償之交易。；親友間交易及債權債務買賣。,RPQNMLQKMHOFFKB88CA,158.05,0.0,15.0,,,3.0
東區,房地(土地+建物),臺中市東區南京東路１段３３２號６樓之１,18.18,住,,,1080306,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860408.0,123.33,3,2,2,有,有,4500000,36487.0,,0.0,0,,RPSNMLKKMHOFFAB67EA,86.33,0.82,11.21,,,8.0
龍井區,房地(土地+建物),臺中市龍井區沙田路五段267號,78.0,住,,,1080218,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,831110.0,345.96,4,2,2,有,無,9280000,26824.0,,0.0,0,,RPPNMLQKMHOFFKB88DA,232.81,29.97,0.0,,,4.0
烏日區,房地(土地+建物),臺中市烏日區中山路二段260巷34號二樓,18.78,商,,,1080327,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,741225.0,96.35,3,1,2,有,無,2200000,22833.0,,0.0,0,親友間交易土地增值稅222815元由買方負擔。,RPUOMLMLMHOFFIB98DA,81.91,0.0,8.69,,,5.0
烏日區,房地(土地+建物)+車位,臺中市烏日區三榮路二段217號,19.37,住,,,1080327,土地1建物1車位2,一層,十二層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1030603.0,126.49,0,0,0,無,有,11000000,86963.0,坡道平面,57.0,0,親友、員工或其他特殊關係間之交易。；,RPXOMLQJNHOFFIB96DA,52.23,0.0,1.33,,,12.0
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路258號3樓之2,37.1,住,,,1080301,土地1建物1車位2,三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120.0,417.98,3,2,3,有,有,63000000,150725.0,坡道平面,61.56,0,,RPSOMLQJNHOFFCB48DA,198.96,8.6,32.53,,,25.0
龍井區,房地(土地+建物),臺中市龍井區新興路１０５號,64.66,,鄉村區,乙種建築用地,1080313,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,680705.0,90.72,4,2,4,有,無,10400000,114638.0,,0.0,0,,RPQOMLQJNHOFFKB98CA,90.72,0.0,0.0,,,2.0
龍井區,房地(土地+建物),臺中市龍井區國際街１５４巷４３之１號,106.75,住,,,1080130,土地5建物1車位0,三層，四層，五層，屋頂突出物，地下層,五層,其他,見其他登記事項,鋼筋混凝土造,780920.0,254.58,4,2,3,有,有,7100000,27889.0,,0.0,0,,RPQNMLKLMHOFFKB38CA,177.48,16.86,19.42,,,5.0
大肚區,房地(土地+建物),臺中市大肚區沙田路一段３２２號,92.11,住,,,1080121,土地2建物1車位0,全,二層,透天厝,住商用,見其他登記事項,631001.0,125.58,0,0,0,無,無,10500000,83612.0,,0.0,0,,RPQNMLPLMHOFFKB88CA,125.58,0.0,0.0,,,2.0
