鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
大同區,房地(土地+建物),臺北市大同區重慶北路二段１５０號十三樓之２,9.02,商,,,1080115,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071129.0,90.27,2,2,1,有,有,20880000,231306.0,,0.0,0,,RPTRMLSJLHOFFBA58CA,55.82,0.0,7.46,,,14.0
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１５０號十四樓之２,9.82,商,,,1080115,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071129.0,135.48,2,2,1,有,有,23500000,238174.0,坡道平面,45.21,2000000,,RPWRMLSJLHOFFBA88CA,55.82,0.0,7.46,,,14.0
萬華區,房地(土地+建物)+車位,臺北市萬華區貴陽街二段３９號三樓之２,15.14,商,,,1071230,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061127.0,206.91,3,2,2,有,有,42000000,220342.0,坡道平面,27.87,2550000,,RPPNMLOKLHOFFBA47CA,111.09,0.0,16.51,,,19.0
萬華區,房地(土地+建物),臺北市萬華區貴陽街二段５１號三樓之５,11.83,商,,,1071220,土地1建物1車位0,三層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061127.0,143.89,3,2,2,有,有,32600000,226562.0,,0.0,0,,RPPOMLTKLHOFFBA08CA,91.12,0.0,12.03,,,19.0
萬華區,房地(土地+建物)+車位,臺北市萬華區中華路二段３６４巷２４弄１號二樓之１,38.33,住,,,1071128,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010625.0,177.54,3,2,2,有,有,8000000,45060.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLTKLHOFFBA18CA,95.5,0.0,9.88,,,14.0
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段56巷198號7樓之1,19.08,住,,,1080116,土地2建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990820.0,130.85,2,2,1,有,有,20800000,158961.0,坡道平面,37.04,0,含增建或未登記建物。；,RPVOMLLKKHOFFCA87CA,51.29,7.13,5.63,,,11.0
內湖區,房地(土地+建物),臺北市內湖區內湖路二段103巷119弄44號3樓,15.09,住,,,1080113,土地2建物1車位0,三層，四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720331.0,121.27,3,2,2,有,有,14800000,122042.0,,0.0,0,含增建或未登記建物。；,RPWOMLLKKHOFFCA97CA,102.54,0.0,4.81,,,14.0
內湖區,房地(土地+建物),臺北市內湖區陽光街161巷1弄1號3樓,27.64,住,,,1080103,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720129.0,92.73,3,2,1,有,無,13080000,141055.0,,0.0,0,含增建或未登記建物。；,RPQPMLLKKHOFFCA47CA,81.96,0.0,10.77,,,5.0
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段135巷38號2樓,75.52,住,,,1080109,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1000215.0,193.02,4,2,2,有,有,30000000,155424.0,坡道平面,28.7,0,,RPSPMLLKKHOFFCA67CA,104.95,3.93,10.89,,,5.0
中山區,房地(土地+建物),臺北市中山區林森北路85巷48號地下層,9.11,商,,,1071221,土地1建物2車位0,地下層,七層,店面(店鋪),見使用執照,鋼筋混凝土造,760214.0,184.15,2,2,3,有,有,25180000,136736.0,,0.0,0,含增建或未登記建物。；,RPQPMLMKKHOFFCA57CA,172.11,4.18,0.0,,,7.0
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１８１巷３７號六樓,28.04,住,,,1070320,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071219.0,126.81,2,2,2,有,有,24280000,226203.0,其他,25.22,1300000,預售屋、雨遮不計價,RPROMLSKKHOFFCA18CA,55.67,4.26,4.81,,,9.0
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路１８１巷３５號六樓,34.21,住,,,1070205,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071219.0,152.93,2,2,2,有,有,30500000,228643.0,其他,25.22,1300000,預售屋、雨遮不計價,RPSOMLSKKHOFFCA28CA,67.91,3.92,10.95,,,9.0
內湖區,車位,臺北市內湖區南京東路六段３４６、３４８號房屋地下二層,3.95,工,,,1080126,土地0建物0車位2,地下二層,十三層,其他,見使用執照,鋼筋混凝土造,800618.0,66.94,0,0,0,有,無,3000000,,坡道平面,66.94,3000000,,RPOOMLPKKHOFFCA57CA,0.0,0.0,0.0,,,13.0
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段６８巷８號10樓之11,9.39,商,,,1071220,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602.0,114.78,2,1,1,有,有,20380000,272085.0,坡道平面,45.39,1500000,,RPQNMLTKKHOFFCA08CA,38.48,2.47,3.68,,,12.0
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段６８巷８號10樓之2,11.39,商,,,1071225,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602.0,131.35,2,1,1,有,有,24560000,269428.0,坡道平面,45.39,1400000,,RPRNMLTKKHOFFCA18CA,46.83,6.01,3.01,,,12.0
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段６８巷８號9樓之5,10.73,商,,,1071106,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050602.0,125.57,2,1,1,有,有,23730000,270392.0,坡道平面,45.39,2050000,,RPSNMLTKKHOFFCA28CA,44.08,3.05,4.72,,,12.0
中山區,房地(土地+建物),臺北市中山區四平街１１７號,24.9,住,,,1071225,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620807.0,67.98,2,1,2,有,無,18880000,277729.0,,0.0,0,,RPTNMLOLKHOFFCA97CA,67.98,0.0,0.0,,,5.0
內湖區,房地(土地+建物),臺北市內湖區成功路四段１８０號二十三樓,19.74,其他,,,1071203,土地1建物1車位0,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223.0,250.16,0,0,0,無,有,69880000,279341.0,,0.0,0,1.毛胚屋。,RPUPMLQJLHOFFCA38CA,144.96,6.71,18.1,,,29.0
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段１８０號二十三樓之１,18.21,其他,,,1071203,土地1建物1車位4,二十三層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223.0,325.67,0,0,0,無,有,69000000,280977.0,坡道平面,116.4,10200000,1.毛胚屋。,RPVPMLQJLHOFFCA48CA,121.63,3.29,17.12,,,29.0
信義區,房地(土地+建物),臺北市信義區基隆路二段69號,8.42,商,,,1071230,土地1建物1車位0,一層，騎樓,十二層,店面(店鋪),商業用,鋼筋混凝土造,721101.0,91.52,0,1,1,有,有,42000000,458916.0,,0.0,0,含增建或未登記建物。；,RPWOMLLKKHOFFDA08CA,73.54,3.72,0.0,,,12.0
南港區,房地(土地+建物),臺北市南港區忠孝東路六段２７８巷２３弄１４號三樓,11.0,住,,,1080129,土地0建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,18.0,3,0,3,有,無,1700000,94444.0,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；受債權債務影響或債務抵償之交易。；急買急賣。；,RPPPMLLKKHOFFDA47CA,18.0,0.0,0.0,,,3.0
松山區,房地(土地+建物),臺北市松山區三民路１８號５樓之１,10.64,住,,,1080125,土地1建物1車位0,五層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030530.0,54.99,1,1,1,有,有,15700000,285506.0,,0.0,0,,RPTNMLMKKHOFFDA77CA,33.02,0.0,4.88,,,11.0
松山區,房地(土地+建物),臺北市松山區八德路四段７２巷１４弄６號二樓,8.19,住,,,1080104,土地2建物1車位0,二層，露台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,590128.0,22.1,3,2,1,有,無,3000000,135747.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSOMLMKKHOFFDA77CA,22.1,0.0,0.0,,,4.0
信義區,房地(土地+建物),臺北市信義區忠孝東路四段553巷52弄16號4樓,32.4,住,,,1071210,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,113.77,4,2,2,有,無,21460000,188626.0,,0.0,0,含增建或未登記建物。；,RPURMLMKKHOFFDA28CA,96.75,13.05,3.97,,,5.0
信義區,房地(土地+建物),臺北市信義區吳興街２６９巷１弄１３號,25.0,住,,,1071128,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630122.0,78.05,3,2,1,有,無,7650000,98014.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSOMLNKKHOFFDA87CA,78.05,0.0,0.0,,,4.0
信義區,房地(土地+建物)+車位,臺北市信義區永吉路225巷１０之１號９樓,33.02,住,,,1040330,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070109.0,279.97,4,2,2,有,有,64200000,278972.0,坡道平面,70.64,5800000,,RPRNMLOKKHOFFDA77CA,123.2,5.78,16.5,,,14.0
信義區,房地(土地+建物),臺北市信義區信義路五段１５０巷１４弄２之２號四樓,20.25,住,,,1071207,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690811.0,89.86,3,2,1,有,無,17800000,198086.0,,0.0,0,,RPXNMLTKKHOFFDA88CA,78.01,0.0,11.85,,,5.0
信義區,房地(土地+建物),臺北市信義區吳興街２８１巷５９號三樓,38.69,住,,,1071210,土地3建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,99.82,3,2,1,有,無,14300000,143258.0,,0.0,0,,RPOOMLTKKHOFFDA08CA,99.82,0.0,0.0,,,4.0
松山區,房地(土地+建物),臺北市松山區南京東路三段３０３巷３弄４號四樓,48.58,住,,,1071011,土地3建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730716.0,171.06,4,2,2,有,無,40000000,233836.0,,0.0,0,,RPQOMLLLKHOFFDA57CA,154.24,0.0,8.39,,,7.0
松山區,建物,臺北市松山區八德路四段７３３、７３１號,0.0,,,,1080130,土地0建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,98.33,0,0,0,無,無,33063591,336251.0,,0.0,0,,RPVPMLPLKHOFFDA58CA,98.33,0.0,0.0,,,2.0
士林區,房地(土地+建物),臺北市士林區中社路二段123號4樓,97.0,住,,,1080105,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650103.0,102.92,4,2,2,有,無,10300000,100078.0,,0.0,0,,RPQOMLLKKHOFFEA57CA,102.92,0.0,0.0,,,4.0
