鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
林口區,房地(土地+建物)+車位,新北市林口區文化北路一段３９０號６樓之３,52.1,住,,,1080211,土地1建物1車位2,六層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,990531.0,242.91,4,2,2,有,有,16830000,74178.0,坡道平面,53.77,2800000,含增建或未登記建物。,RPSPMLMJMHOFFBF38DA,111.41,4.04,14.17,,,13.0
板橋區,房地(土地+建物),新北市板橋區民生路三段３１９號２２樓,3.2,住,,,1080222,土地1建物1車位0,二十二層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,950914.0,94.77,4,2,2,有,有,12880000,135908.0,,0.0,0,含增建或未登記建物。權利人共兩人。,RPQOMLLJMHOFFAF87DA,57.73,0.0,11.59,,,
土城區,房地(土地+建物),新北市土城區金城路三段２０７巷６弄４號４樓,21.1,住,,,1080223,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711119.0,75.75,3,2,1,有,無,6948000,91723.0,,0.0,0,含增建或未登記建物。,RPROMLLJMHOFFAF97DA,67.31,0.0,8.44,,,5.0
板橋區,房地(土地+建物),新北市板橋區中正路４１３巷１３號９樓,16.68,住,,,1080223,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,950517.0,110.36,3,2,2,有,有,13600000,123233.0,,0.0,0,含增建或未登記建物。,RPSOMLLJMHOFFAF08DA,73.41,1.36,8.05,,,13.0
土城區,房地(土地+建物)+車位,新北市土城區學府路一段２８０巷２２號８樓,17.67,住,,,1080225,土地3建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830204.0,137.2,3,2,2,有,有,13200000,96210.0,坡道平面,0.0,1800000,含增建或未登記建物。權利人共兩人。,RPTOMLLJMHOFFAF18DA,79.72,0.69,13.38,,,8.0
樹林區,房地(土地+建物),新北市樹林區中山路二段１８５之１號,46.14,工,,,1080320,土地1建物1車位0,一層,十層,其他,見其他登記事項,鋼筋混凝土造,880629.0,288.58,3,0,1,有,無,8000000,27722.0,,0.0,0,親友、員工或其他特殊關係間之交易。；受債權債務影響或債務抵償之交易。；現況供宮廟使用。,RPWNMLTLLHOFFIF37CA,224.3,0.0,7.46,,,10.0
樹林區,房地(土地+建物)+車位,新北市樹林區保安街二段１０７巷３２號八樓,28.04,住,,,1071211,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071008.0,151.54,3,2,1,有,有,12300000,91631.0,坡道平面,33.13,1450000,,RPQNMLMJMHOFFIF58CA,69.75,0.0,12.96,,,9.0
樹林區,房地(土地+建物)+車位,新北市樹林區保安街二段１０７巷３２號五樓,28.04,住,,,1080307,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1071008.0,151.54,3,2,1,有,有,11370000,83777.0,坡道平面,33.13,1450000,,RPSNMLMJMHOFFIF78CA,69.75,0.0,12.96,,,9.0
樹林區,房地(土地+建物),新北市樹林區保安街二段１０７巷２５號六樓,26.91,住,,,1071220,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070919.0,90.86,2,2,1,有,有,7680000,84526.0,,0.0,0,,RPWPMLLJMHOFFIF66CA,49.04,0.0,11.83,,,7.0
三峽區,房地(土地+建物),新北市三峽區復興路447號四樓之6,2.91,住,,,1080204,土地1建物1車位0,四層,十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,841013.0,35.71,1,0,1,有,有,3150000,88211.0,,0.0,0,,RPQPMLLJMHOFFIF68CA,24.08,0.0,5.43,,,16.0
